Address,City and ZIP,SF,City,ZIP,yearly_price_per_SF,year_built,full_address,latitude,longitude,weighted_avg_income,nearest_distance
2586 Linden Blvd,"Brooklyn, NY, 11208","8,500 ","Brooklyn, ",11208,48.00 ,2015,"2586 Linden Blvd Brooklyn, NY, 11208",40.66885593333333,-73.86880906666667,42.13641413019329,7301.06992636755
103 Macdougal St,"New York, NY, 10012"," 12,000 ","New York, ",10012,120.00 ,1900,"103 Macdougal St New York, NY, 10012",40.72964981818182,-74.00091254545454,124.96935201401051,533.1612494842542
336 W 23rd St,"New York, NY, 10011"," 6,200 ","New York, ",10011,49.00 ,1910,"336 W 23rd St New York, NY, 10011",40.74558845,-74.00007101366131,136.63649222065064,667.8028836539561
1 Wall Street,"New York, NY, 10005"," 12,500 ","New York, ",10005,88.00 ,1904,"1 Wall Street New York, NY, 10005",40.7073017,-74.01169293622516,136.7764505119454,472.86825046790403
31 W 21st St,"New York, NY, 10010","9,000 ","New York, ",10010,115.00 ,1908,"31 W 21st St New York, NY, 10010",40.7411472,-73.99211529319186,130.9073262366938,1126.9202916297897
135 W 36th St,"New York, NY, 10018"," 27,499 ","New York, ",10018,76.50 ,1925,"135 W 36th St New York, NY, 10018",40.75193765,-73.98830564599342,123.03506097560975,317.0246929598882
946 McDonald Ave,"Brooklyn, NY, 11218"," 4,500 ","Brooklyn, ",11218,29.00 ,1933,"946 McDonald Ave Brooklyn, NY, 11218",40.63097965,-73.9774776471771,70.50332929782083,6064.5855052711895
2715 Mermaid Ave,"Brooklyn, NY, 11224","5,000 ","Brooklyn, ",11224,19.68 ,1930,"2715 Mermaid Ave Brooklyn, NY, 11224",40.5757617,-73.993739,52.71917808219178,12266.409378302871
218 Newel St,"Brooklyn, NY, 11222"," 11,760 ","Brooklyn, ",11222,40.00 ,1931,"218 Newel St Brooklyn, NY, 11222",40.7296393,-73.9500212,96.09931212381771,1766.0262609675742
2516 Neptune Ave,"Brooklyn, NY, 11224","4,600 ","Brooklyn, ",11224,22.00 ,2018,"2516 Neptune Ave Brooklyn, NY, 11224",40.5778226,-73.9934212,52.71917808219178,12035.99029806477
